Survey_Name,Standard_Name,latitude,longitude
Abbott Park,ABBOTT (ROBERT),41.719018,-87.622123
Ada Park,ADA (SAWYER GARRETT),41.6884565,-87.654409
Altgeld Park,ALTGELD (JOHN),41.874376,-87.6925765
Amundsen Park,AMUNDSEN (ROALD),41.9138165,-87.7791045
Archer Park,ARCHER (WILLIAM BEATTY),41.804071,-87.734748
Armour Square Park,ARMOUR (PHILIP) SQUARE,41.833647,-87.633993
Athletic Field Park,ATHLETIC FIELD,41.947469,-87.717036
Augusta Park,AUGUSTA (CARPENTER),41.8985505,-87.73783
Austin Town Hall,AUSTIN TOWN HALL,41.888507,-87.765786
Avalon Park,AVALON,41.7422525,-87.595309
Avondale Park,AVONDALE,41.941584,-87.715153
Bell Park,BELL (GEORGE JR.),41.935427,-87.7962265
Bessemer Park,BESSEMER (HENRY),41.7318495,-87.557752
Beverly Park,BEVERLY,41.708211,-87.684419
Blackhawk Park,BLACKHAWK,41.923039,-87.752422
Bogan Park,BOGAN (WILLIAM),41.746788,-87.7205695
Bosley Playground Park,BOSLEY (WILLIAM),41.8390315,-87.6536485
Bradley Park,BRADLEY (JOSEPHINE),41.7180945,-87.5637175
Brainerd Park,BRAINERD,41.7277145,-87.654323
Brands Park,BRANDS,41.9411505,-87.6997455
Broadway Armory Park,BROADWAY ARMORY,41.9893285,-87.659672
Brooks Park,BROOKS (GWENDOLYN),41.8120595,-87.600191
Calumet Park,CALUMET,41.7155825,-87.5296975
Carver Park,CARVER (GEORGE WASHINGTON),41.6539365,-87.598422
Chase Park,CHASE (SALMON),41.967749,-87.6682495
Chicago Women's Park and Gardens,CHICAGO WOMEN'S PARK AND GARDENS,41.8571765,-87.621507
Chippewa Park,CHIPPEWA,42.0039835,-87.705203
Chopin Park,CHOPIN (FREDERIC),41.943186,-87.7629765
Clarendon Park Community Center,CLARENDON COMM. CTR.,41.963329,-87.648453
Columbus Park,COLUMBUS (CHRISTOPHER),41.874397,-87.769578
Commercial Club Playground,COMMERCIAL CLUB PGD. of CHICAGO,41.89663,-87.6736375
Cooper Park,COOPER (JACK),41.680357,-87.655388
Cornell Square Park,CORNELL (PAUL) SQUARE,41.8021765,-87.670888
Cragin Park,CRAGIN,41.92821,-87.757788
Curie Park,CURIE (MARIE),41.8031195,-87.7194425
Davis Square Park,DAVIS (DR. NATHAN) SQUARE,41.813128,-87.6675225
Dawes Park,DAWES (CHARLES),41.7463735,-87.6754275
Don Nash Community Center,NASH (DON) COMM. CTR.,41.765695,-87.5799765
Donovan Playground Park,DONOVAN (GEORGE),41.8281215,-87.648479
Dooley Playground Park,DOOLEY (THOMAS),41.7538125,-87.707894
Dunham Park,DUNHAM (ROBERT),41.96584,-87.7843695
Durkin Park,DURKIN (MARTIN),41.73933,-87.7276505
Dvorak Park,DVORAK (ANTON),41.853893,-87.6539325
Eckhart Park,ECKHART (BERNARD),41.8970935,-87.6611865
Edgebrook Park,EDGEBROOK,42.000271,-87.7612505
Edison Park,EDISON (THOMAS ALVA),42.0040365,-87.817567
Ellis Park,ELLIS (SAMUEL),41.829182,-87.6102285
Emmerson Park,EMMERSON (LOUIS),41.9945905,-87.676971
