name,latitude,longitude
GRANDPARENTS',41.9787845,-87.8385635
OLYMPIA,41.998992,-87.8160375
BROOKS (OSCAR),42.009898,-87.8088045
MERRIMAC,41.952004,-87.7852485
ROSEDALE,41.9890625,-87.7857995
MINUTEMAN,41.7850295,-87.76447
GALEWOOD,41.9123475,-87.768654
GLADSTONE (WILLIAM),41.979144,-87.7727235
GREEN (JEFFERY),41.999977,-87.766376
VITTUM (HARRIET ELIZABETH),41.802988,-87.748536
OHIO,41.891658,-87.7443555
THUIS (GRACE ZWIEFKA),41.967706,-87.75232
DEJULIO (ANTHONY),41.9907905,-87.7536875
DURKIN (MARTIN),41.73933,-87.7276505
LEE (JOHN),41.735264,-87.7144755
STROHACKER (HOWARD),41.7940445,-87.732373
PASTEUR (LOUIS),41.7876765,-87.7316035
FRANKLIN (BENJAMIN),41.8615035,-87.7323725
GARFIELD (JAMES),41.8812435,-87.7159925
ORR (REZIN),41.8938985,-87.7279695
KEYSTONE,41.9115155,-87.727255
HARDING (FREDERICK),41.9024225,-87.7247715
KOSCIUSZKO (THADEUZ),41.930909,-87.7245065
AVONDALE,41.941584,-87.715153
ATHLETIC FIELD,41.947469,-87.717036
MCKIERNAN (DAVID),41.6983495,-87.702892
WASHTENAW,41.845865,-87.692155
PARK NO. 422,41.8748415,-87.7069715
KELLS (GEORGE),41.895064,-87.7071515
BRANDS,41.9411505,-87.6997455
LOGAN SQUARE SKATE PARK,41.9286425,-87.689315
JACOB,41.966618,-87.698291
SUNKEN GARDENS,41.963324,-87.695062
PARK NO. 557,42.013864,-87.708706
BOHN (HENRY),41.6925845,-87.6711935
MUNROE,41.7017755,-87.6866575
KING (PATRICK)-LOCKHART (ANTHONY),41.7002565,-87.6810355
BARNARD (ERASTUS),41.70341,-87.670141
HURLEY (TIMOTHY),41.711766,-87.6697165
LITTLE VENICE,41.8016065,-87.681454
DALEY (RICHARD J.),41.836861,-87.6863085
HOYNE (THOMAS),41.831486,-87.6783785
BARRETT (JOHN),41.852426,-87.6766615
SUPERIOR,41.894686,-87.679757
DEAN (JOHN),41.9068945,-87.6708765
PARK NO. 512,41.914831,-87.668444
WIEBOLDT (WILLIAM),41.9366425,-87.672928
ZATTERBERG (HELEN),41.9592865,-87.6727945
JUNIPER,41.948645,-87.6668025
CHASE (SALMON),41.967749,-87.6682495
JACOLIK (FLORIAN S.),41.8437945,-87.6610895
BOSLEY (WILLIAM),41.8390315,-87.6536485
MILLER (SAMUEL),41.8704715,-87.6525415
STANTON (EDWIN),41.905733,-87.6453985
SUPERA,41.928009,-87.65888
BUENA CIRCLE,41.958403,-87.6564625
CARMEN,41.9749,-87.660947
COCHRAN (JOHN),41.9833735,-87.661687
CEDAR,41.978687,-87.6574805
COLUMBIA BEACH,42.004484,-87.65718
LEONE (SAM) BEACH,42.01315,-87.6623415
WEST PULLMAN,41.6697295,-87.6317205
BLOCK,41.7061395,-87.632378
JUNCTION GROVE,41.777828,-87.6343185
SHERWOOD (JESSE),41.7900545,-87.63411
FULLER (MELVILLE),41.8114135,-87.6346065
LIN (MARGARET HIE DING),41.858048,-87.626807
ROOSEVELT (THEODORE),41.8680195,-87.6299615
SENECA,41.8971985,-87.622205
BAULER (MATHIAS),41.9162235,-87.6417795
EUGENIE TRIANGLE,41.9132515,-87.633094
PULLMAN (GEORGE),41.692285,-87.6095965
COLE (NAT KING),41.739228,-87.6154025
MEYERING (WILLIAM),41.764504,-87.6160315
ARMSTRONG (LILLIAN HARDIN),41.814026,-87.6102915
DUSABLE (JEAN BAPTISTE POINTE),41.8895765,-87.61308
ADAMS (JOHN C.),41.7572715,-87.598707
ROSENBLUM (J. LESLIE),41.7579515,-87.577973
NASH (DON) COMM. CTR.,41.765695,-87.5799765
TILL-MOBLEY (MAMIE),41.778228,-87.600755
SPRUCE,41.798586,-87.5900105
BRADLEY (JOSEPHINE),41.7180945,-87.5637175
PIETROWSKI (SYLVESTER),41.719861,-87.5380505
CALUMET,41.7155825,-87.5296975
PARK NO. 523,41.737236,-87.5300065
ORIOLE,41.9795125,-87.815599
SUMMERDALE,41.977692,-87.809132
NORWOOD CIRCLE,41.989259,-87.8049
MONUMENT,42.001822,-87.8179635
NOTTINGHAM,41.7770485,-87.7990915
STARS &#38; STRIPES,41.7991155,-87.797627
RIIS (JACOB),41.9255965,-87.781845
"BELL (GEORGE,JR.)",41.935427,-87.7962265
DUNHAM (ROBERT),41.96584,-87.7843695
CENTENNIAL,41.9917535,-87.798858
COLUMBUS (CHRISTOPHER),41.874397,-87.769578
LEVIN (JOHN),41.8883355,-87.761844
CHOPIN (FREDERIC),41.943186,-87.7629765
QUINN (MARY),41.995381,-87.770507
PARK NO. 484,41.7699355,-87.7391155
PARK NO. 468,41.7919765,-87.737475
ARCHER (WILLIAM BEATTY),41.804071,-87.734748
SWEET CLOVER,41.892878,-87.7546195
LA FOLLETTE (ROBERT),41.9049985,-87.7533745
PIOTROWSKI (LILLIAN),41.834979,-87.7307
CRAWFORD (PETER),41.860082,-87.7277915
KEELER (CYRUS),41.8648185,-87.729677
SPIKINGS FARM,41.966798,-87.728324
BRYNFORD,41.9840015,-87.728814
